Name,Original_Price,Discounted_Price,Company,Display_Type,Display_Size,Ram,Rom
MOTOROLA g67 power 5G,18999.0,16999.0,MOTOROLA,Full HD+ Display,6.7,8.0,128.0
Samsung Galaxy F06 5G,15499.0,8999.0,Samsung,HD+ Display,6.7,4.0,128.0
realme P4x 5G,17999.0,15999.0,realme,Full HD+ Display,6.72,6.0,128.0
OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI,29999.0,12499.0,OPPO,HD+ Display,6.67,4.0,128.0
vivo T4 5G,74999.0,26999.0,vivo,Display,6.77,12.0,256.0
Samsung Galaxy S24 5G Snapdragon,34999.0,40999.0,Samsung,Full HD+ Display,6.2,8.0,128.0
MOTOROLA Edge 70,27999.0,29999.0,MOTOROLA,Display,6.7,8.0,256.0
vivo T4 5G,36999.0,24999.0,vivo,Display,6.77,8.0,256.0
MOTOROLA Edge 60 Pro,13999.0,29999.0,MOTOROLA,Display,6.7,8.0,256.0
Samsung Galaxy F06 5G,111999.0,8499.0,Samsung,HD+ Display,6.7,4.0,64.0
Samsung Galaxy S25 Plus 5G,26999.0,86999.0,Samsung,Quad HD+ Display,6.7,12.0,512.0
vivo T4R 5G,27999.0,24999.0,vivo,Display,6.77,12.0,256.0
vivo T4 5G,33999.0,24999.0,vivo,Display,6.77,8.0,256.0
Samsung Galaxy A35 5G,24999.0,18499.0,Samsung,Full HD+ Display,6.6,8.0,128.0
vivo T4R 5G,16999.0,22999.0,vivo,Display,6.77,8.0,256.0
Samsung Galaxy F06 5G,15999.0,9999.0,Samsung,HD+ Display,6.7,6.0,128.0
Samsung Galaxy F16 5G,24147.017316017314,12499.0,Samsung,Full HD+ Display,6.657,4.0,128.0
realme Narzo 80 Lite 5G,14999.0,11809.0,realme,Display,6.67,6.0,128.0
OnePlus 13R 5G,44999.0,39988.0,OnePlus,Display,6.78,12.0,256.0
Samsung Galaxy F07,9999.0,6799.0,Samsung,HD+ Display,6.7,4.0,64.0
MOTOROLA Edge 70,34999.0,29999.0,MOTOROLA,Display,6.7,8.0,256.0
OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI,16999.0,13999.0,OPPO,HD+ Display,6.67,6.0,128.0
Samsung Galaxy F06 5G,13999.0,8999.0,Samsung,HD+ Display,6.7,4.0,128.0
Samsung Galaxy F06 5G,16999.0,9999.0,Samsung,HD+ Display,6.7,6.0,128.0
MOTOROLA g06 power,9999.0,7999.0,MOTOROLA,HD+ Display,6.88,4.0,64.0
Samsung Galaxy F06 5G,15499.0,8999.0,Samsung,HD+ Display,6.7,4.0,128.0
realme P4x 5G,17999.0,15999.0,realme,Full HD+ Display,6.72,6.0,128.0
OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI,74999.0,12499.0,OPPO,HD+ Display,6.67,4.0,128.0
Samsung Galaxy S24 5G Snapdragon,5899.0,40999.0,Samsung,Full HD+ Display,6.2,8.0,128.0
"Nokia 2660 Flip 4G Volte Blue keypad Mobile with Dual Sim & Screen, MP3 Player",17999.0,4777.0,Nokia,QVGA Display,2.8,0.046875,0.125
POCO M6 Plus 5G,34999.0,11399.0,POCO,Full HD+ Display,6.79,8.0,128.0
MOTOROLA Edge 70,42999.0,29999.0,MOTOROLA,Display,6.7,8.0,256.0
MOTOROLA Edge 60 Pro,13999.0,37999.0,MOTOROLA,Display,6.7,16.0,512.0
Samsung Galaxy F06 5G,33999.0,8499.0,Samsung,HD+ Display,6.7,4.0,64.0
Samsung Galaxy A35 5G,37999.0,18499.0,Samsung,Full HD+ Display,6.6,8.0,128.0
OnePlus Nord 5 5G,37999.0,37998.0,OnePlus,Display,6.83,12.0,256.0
OnePlus Nord 5 5G,59999.0,37489.0,OnePlus,Display,6.83,12.0,256.0
Samsung Galaxy S24 FE 5G,16999.0,34999.0,Samsung,Full HD+ Display,6.7,8.0,128.0
Samsung Galaxy F06 5G,24147.017316017314,9999.0,Samsung,HD+ Display,6.7,6.0,128.0
vivo T4x 5G,17999.0,15499.0,vivo,Display,6.72,6.0,128.0
OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box,22999.0,19999.0,OPPO,Display,6.67,8.0,128.0
Samsung Galaxy F07,9999.0,6799.0,Samsung,HD+ Display,6.7,4.0,64.0
MOTOROLA Edge 70,34999.0,29999.0,MOTOROLA,Display,6.7,8.0,256.0
Samsung Galaxy F06 5G,16999.0,9999.0,Samsung,HD+ Display,6.7,6.0,128.0
realme P3 Lite 5G Charger in the Box,12999.0,11999.0,realme,Display,6.67,4.0,128.0
OnePlus Nord 5 5G,34999.0,34946.0,OnePlus,Full HD+ AMOLED Display,6.83,8.0,256.0
Samsung Galaxy F06 5G,15499.0,8999.0,Samsung,HD+ Display,6.7,4.0,128.0
realme P4x 5G,17999.0,15999.0,realme,Full HD+ Display,6.72,6.0,128.0
OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI,15999.0,12499.0,OPPO,HD+ Display,6.67,4.0,128.0
OnePlus Nord 5 5G,34999.0,33908.0,OnePlus,Full HD+ AMOLED Display,6.83,8.0,256.0
Samsung Galaxy S24 5G Snapdragon,74999.0,40999.0,Samsung,Full HD+ Display,6.2,8.0,128.0
MOTOROLA Edge 70,34999.0,29999.0,MOTOROLA,Display,6.7,8.0,256.0
POCO M7 Pro 5G,18999.0,12999.0,POCO,Full HD+ Display,6.67,6.0,128.0
realme C71,10999.0,9699.0,realme,HD+ Display,6.75,6.0,128.0
Samsung Galaxy F06 5G,13999.0,8499.0,Samsung,HD+ Display,6.7,4.0,64.0
Samsung Galaxy A35 5G,33999.0,18499.0,Samsung,Full HD+ Display,6.6,8.0,128.0
Nothing Phone  Pro,34999.0,30999.0,Nothing,Full HD+ Display,17.19,8.0,256.0
Nothing Phone  Pro,32999.0,28999.0,Nothing,Full HD+ Display,17.19,8.0,128.0
Samsung Galaxy F06 5G,16999.0,9999.0,Samsung,HD+ Display,6.7,6.0,128.0
Samsung Galaxy F07,9999.0,6799.0,Samsung,HD+ Display,6.7,4.0,64.0
MOTOROLA Edge 70,34999.0,29999.0,MOTOROLA,Display,6.7,8.0,256.0
Samsung Galaxy S24 5G Snapdragon,79999.0,45999.0,Samsung,Full HD+ Display,6.2,8.0,256.0
Samsung Galaxy F06 5G,16999.0,9999.0,Samsung,HD+ Display,6.7,6.0,128.0
Samsung Galaxy F06 5G,15499.0,8999.0,Samsung,HD+ Display,6.7,4.0,128.0
realme Narzo 80 Lite 4G,8999.0,7244.0,realme,HD+ Display,6.74,4.0,64.0
MOTOROLA G96 5G,20999.0,18999.0,MOTOROLA,Full HD+ Display,6.67,8.0,128.0
realme P4x 5G,17999.0,15999.0,realme,Full HD+ Display,6.72,6.0,128.0
Google Pixel 9A,49999.0,44999.0,Google,Full HD+ Display,6.285,8.0,256.0
OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI,15999.0,12499.0,OPPO,HD+ Display,6.67,4.0,128.0
Samsung Galaxy S24 5G Snapdragon,74999.0,40999.0,Samsung,Full HD+ Display,6.2,8.0,128.0
OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box,24999.0,21999.0,OPPO,Display,6.67,8.0,256.0
OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box,22999.0,19999.0,OPPO,Display,6.67,8.0,128.0
MOTOROLA Edge 70,34999.0,29999.0,MOTOROLA,Display,6.7,8.0,256.0
Samsung Galaxy F06 5G,13999.0,8499.0,Samsung,HD+ Display,6.7,4.0,64.0
MOTOROLA G96 5G,20999.0,18999.0,MOTOROLA,Full HD+ Display,6.67,8.0,128.0
realme 14x 5G,17999.0,14906.0,realme,HD+ Display,6.67,8.0,128.0
Samsung Galaxy A35 5G,33999.0,18499.0,Samsung,Full HD+ Display,6.6,8.0,128.0
Samsung Galaxy A55 5G,42999.0,26199.0,Samsung,Full HD+ Display,6.6,8.0,128.0
Samsung Galaxy S24 FE 5G,59999.0,34999.0,Samsung,Full HD+ Display,6.7,8.0,128.0
Samsung Galaxy F06 5G,16999.0,9999.0,Samsung,HD+ Display,6.7,6.0,128.0
realme C61,9999.0,8499.0,realme,HD+ Display,6.745,4.0,128.0
realme C61,9999.0,8499.0,realme,HD+ Display,6.745,4.0,128.0
